One “master” query: tables + columns + PK + FK + data types + defaults,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
SchemaName,TableName,ColumnOrder,ColumnName,DataType,IsNullable,IsIdentity,IsComputed,DefaultDefinition,PrimaryKeyOrdinal,FK_Name,RefSchema,RefTable,RefColumn,ColumnDescription
dbo,AP_IRS_1099,19,IRS_PAYEE_PAYMENT_AMOUNT_4,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,20,IRS_PAYEE_PAYMENT_AMOUNT_5,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,21,IRS_PAYEE_PAYMENT_AMOUNT_6,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,22,IRS_PAYEE_PAYMENT_AMOUNT_7,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,23,IRS_PAYEE_PAYMENT_AMOUNT_8,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,24,IRS_PAYEE_PAYMENT_AMOUNT_9,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,25,IRS_PAYEE_NAME,varchar(30),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,26,IRS_PAYEE_ADDRESS,varchar(30),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,27,IRS_PAYEE_CITY,varchar(30),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,28,IRS_PAYEE_STATE,varchar(2),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_IRS_1099,29,IRS_PAYEE_ZIP_CODE,varchar(10),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_LINK_SALES_ORDER,1,APS_COMPANY_ID,int,0,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL
dbo,AP_LINK_SALES_ORDER,2,APS_WAREHOUSE_NUMBER,int,0,0,0,NULL,2,NULL,NULL,NULL,NULL,NULL
dbo,AP_LINK_SALES_ORDER,3,APS_VOUCHER_NUMBER,int,0,0,0,NULL,3,NULL,NULL,NULL,NULL,NULL
dbo,AP_LINK_SALES_ORDER,4,APS_SALES_ORDER_NUMBER,int,0,0,0,NULL,4,NULL,NULL,NULL,NULL,NULL
dbo,AP_LINK_SALES_ORDER,5,APS_SALES_ORDER_LINE_NO,int,0,0,0,NULL,5,NULL,NULL,NULL,NULL,NULL
dbo,AP_LINK_SALES_ORDER,6,APS_INVOICE_MATERIAL_APPLIED,"numeric(12,2)",1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_LINK_SALES_ORDER,7,APS_INVOICE_LABOR_APPLIED,"numeric(12,2)",1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_LINK_SALES_ORDER,8,APS_INVOICE_FREIGHT_APPLIED,"numeric(12,2)",1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,1,APO_COMPANY_ID,int,0,0,0,NULL,1,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,2,APO_WAREHOUSE_NUMBER,int,0,0,0,NULL,2,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,3,APO_VENDOR_NUMBER,varchar(7),0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,4,APO_VOUCHER_NUMBER,int,0,0,0,NULL,3,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,5,APO_VOUCHER_TYPE,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,6,APO_PURCHASE_ORDER_NUMBER,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,7,APO_DISTRIBUTION_DATE,datetime,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,8,APO_INVOICE_NUMBER,varchar(20),1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,9,APO_INVOICE_DATE,datetime,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,10,APO_DUE_DATE,datetime,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,11,APO_DUE_DATE_DISCOUNT_2,datetime,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,12,APO_DUE_DATE_DISCOUNT_3,datetime,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,13,APO_DUE_DAYS,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,14,APO_DUE_DAYS_DISCOUNT_2,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,15,APO_DUE_DAYS_DISCOUNT_3,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,16,APO_DISCOUNT_DATE,datetime,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,17,APO_DISCOUNT_DATE_DISCOUNT_2,datetime,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,18,APO_DISCOUNT_DATE_DISCOUNT_3,datetime,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,19,APO_DISCOUNT_DAYS,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,20,APO_DISCOUNT_DAYS_DISCOUNT_2,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,21,APO_DISCOUNT_DAYS_DISCOUNT_3,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,22,APO_DISCOUNT_PERCENT,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,23,APO_DISCOUNT_PERCENT_DISCOUNT_2,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,24,APO_DISCOUNT_PERCENT_DISCOUNT_3,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,25,APO_ORIGINAL_INVOICE_AMOUNT,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,26,APO_ORIGINAL_DISCOUNT_AMOUNT,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,27,APO_ORIGINAL_DISCOUNT_AMOUNT_2,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,28,APO_ORIGINAL_DISCOUNT_AMOUNT_3,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,29,APO_ORIGINAL_RETNGE_AMOUNT,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,30,APO_INVOICE_BALANCE,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,31,APO_DISCOUNT_BALANCE,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,32,APO_CURRENT_PARTIAL_PAYMENT,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,33,APO_CURRENT_DISCOUNT_AMOUNT,float,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,34,APO_DISCOUNT_ACCOUNT_NUMBER,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,35,APO_DISCOUNT_ACCOUNT_NUMBER_2,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,36,APO_DISCOUNT_ACCOUNT_NUMBER_3,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,37,APO_CASH_ACCOUNT_NUMBER,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,38,APO_CHECK_NUMBER,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,39,APO_CHECK_DATE,datetime,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,40,APO_SELECTION_STATUS,int,1,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
dbo,AP_OPEN_ITEM,41,APO_CHECK_PRINTED_FLAG,bit,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
